Stuttgart,Karlsruhe,62
Karlsruhe,Stuttgart,62
Stuttgart,Nürnberg,150
Nürnberg,Stuttgart,150
Stuttgart,München,190
München,Stuttgart,190
München,Nürnberg,150
Nürnberg,München,150
München,Linz,200
Linz,München,200
Berlin,Dresden,150
Dresden,Berlin,150
Nürnberg,Hamburg,380
Hamburg,Nürnberg,380
Bonn,Düsseldorf,60
Düsseldorf,Bonn,60
Karlsruhe,Düsseldorf,210
Düsseldorf,Karlsruhe,210
Hamburg,Karlsruhe,370
Karlsruhe,Hamburg,370
Karlsruhe,Nürnberg,200
Nürnberg,Karlsruhe,200
Nürnberg,München,150
München,Nürnberg,150
Nürnberg,Dresden,260
Dresden,Nürnberg,260
Stuttgart,Freiburg,90
Freiburg,Stuttgart,90
München,Augsburg,70
Augsburg,München,70
Nürnberg,Regensburg,120
Regensburg,Nürnberg,120
Berlin,Potsdam,35
Potsdam,Berlin,35
Hamburg,Bremen,120
Bremen,Hamburg,120
Düsseldorf,Köln,40
Köln,Düsseldorf,40
Stuttgart,Heilbronn,50
Heilbronn,Stuttgart,50
